ID,Species,Region,leaf.length,leaflet.length,leaflet.width,leaflet.area,leaflet.upper.hairy,leaflet.lower.hairy,leaf.hairy,leaflet.shape1,leaflet.shape2,length.width
SH486,Species5,North,80.266,17.927858,7.823476,114.68985,1,3,3,0.0047426988,-0.0033901564,2.291546
SH556,Species5,South,56.709,14.116905,4.091798,40.21683,1,3,3,0.1710700282,-0.0107361069,3.155618
SH560,Species5,South,56.2165,11.196893,4.69467,36.59302,2,3,3,0.0622049104,-0.0065817862,2.423631
SH561,Species5,South,89.684,15.818923,6.268279,76.74758,2,NA,3,0.018435956,0.0021724413,2.471453
SH562,Species5,South,73.961,13.439419,5.500554,55.94777,2,3,3,0.0602126428,0.0054221108,2.425579
SH563,Species5,South,62.171,13.550526,5.614312,57.5934,2,3,3,0.0280750929,0.0045039099,2.373748
SH564,Species5,South,53.007,9.629845,4.333284,30.99673,2,3,3,0.0101523376,-0.0014283327,2.276071
SH565,Species5,South,68.4235,12.513566,4.130107,39.52963,2,3,3,0.0944701905,-0.0075275152,2.843838
SH566,Species5,South,59.038,11.798349,4.425332,40.10389,2,3,3,0.0597384099,-0.0027904683,2.515452
SH568,Species5,South,49.932,9.834737,3.515846,24.48476,NA,3,NA,0.0982065256,-0.0053854156,2.7287
SH570,Species5,South,40.6025,11.297692,3.84299,32.77483,2,3,3,0.0859798663,-0.0017959442,2.841511
SH571,Species5,South,75.497,14.987534,5.001296,53.23375,2,3,3,0.1311205489,-0.0058396904,3.023794
SH573,Species5,South,58.2655,10.388957,3.959355,30.4882,2,NA,NA,0.0648078071,-0.0081420494,2.56479
SH574,Species5,South,63.0055,15.05564,5.020055,57.21511,2,3,3,0.0837176558,-0.0061217856,2.811384
SH582,Species5,South,35.03,11.373108,4.274738,36.16665,2,3,3,0.0485309293,0.0007183562,2.571045
SH583,Species5,South,52.622,11.280552,4.250438,39.40835,2,3,3,0.042961863,0.0025131027,2.566844
SH585,Species5,South,75.038,12.265225,5.410892,53.06852,2,3,3,0.0276237982,-0.0026230721,2.441325
SH587,Species5,South,72.8065,13.501752,5.775722,64.43187,2,3,3,0.0217676279,-0.0047985001,2.382679
SH588,Species5,South,78.43,13.341605,5.445996,49.22254,2,3,3,0.0284003332,-0.0042463758,2.40563
SH591,Species5,South,41.2365,10.242862,4.446237,33.92649,2,3,3,0.0382352095,0.0010778639,2.275556
SH603,Species5,South,62.016,14.945695,4.941855,53.90182,2,3,3,0.0622432424,-0.0113127701,2.678737
SH609,Species5,South,64.3,13.952503,6.035375,65.00664,2,3,3,0.0243079154,-0.0069714589,2.442443
SH610,Species5,South,40.34,11.022085,4.327471,37.34276,1,3,3,0.0568388364,-0.0044237857,2.645919
SH611,Species5,South,69.8265,12.958136,5.173557,47.36972,2,3,3,0.0483834101,-0.0053604619,2.408828
SH614,Species5,South,56.303,13.989901,6.11811,65.28636,2,3,3,0.0101487151,0.0022750212,2.258231
SH615,Species5,South,59.8485,16.065351,7.461788,93.03091,2,3,3,-0.0162358613,0.002208641,2.221401
SH617,Species5,South,50.0515,14.947482,6.044533,73.50479,2,3,3,0.0163975131,-0.0009926124,2.38721
SH618,Species5,South,53.131,16.162004,5.707039,73.59538,2,3,NA,0.0466460165,-0.0024632193,2.687688
SH620,Species5,South,61.2675,12.90097,5.506266,54.29922,2,3,3,0.0411888902,-0.0014311758,2.458248
SH621,Species5,South,72.821,16.547452,5.629739,74.37642,2,3,3,0.0696659142,-0.0003203581,2.540573
SH622,Species5,South,114.134,19.111998,7.730303,118.27883,2,NA,3,0.0318570737,-0.0041186419,2.44473
SH623,Species5,South,57.5435,14.680793,6.239711,74.10719,NA,3,3,0.0018336079,0.0008199997,2.281077
SH624,Species5,South,83.76,15.30149,7.408563,91.42153,2,3,3,-0.0132853353,0.0017031396,2.153291
SH625,Species5,South,54.0115,10.812895,4.641159,37.51364,2,3,3,0.0358689552,0.002742635,2.441577
SH626,Species5,South,106.266,20.853274,7.993236,112.26479,2,3,3,0.0715758858,-0.0083846674,2.86909
SH030,Species6,North,235.1915,98.691074,51.70884,3323.19019,1,1,1,-0.0822429693,0.0063922608,1.900791
SH035,Species6,North,223.349,88.130912,56.069455,3289.87852,1,1,1,-0.1455950759,0.0156332681,1.582057
SH038,Species6,North,125.3105,66.296535,42.972109,1897.19701,1,1,1,-0.1419849793,0.0028854884,1.631448
SH041,Species6,North,146.637,78.972672,47.632894,2749.40042,1,1,NA,-0.1496091027,0.0065790298,1.55439
SH053,Species6,North,190.697,82.984238,38.195014,2193.66078,1,1,1,-0.0247617548,0.0013347856,2.158124
SH076,Species6,North,183.807,71.752833,38.48147,1974.94825,1,1,1,-0.0899315654,0.0050939496,1.802191
SH100,Species6,North,207.183,88.402991,42.628591,2230.87436,1,1,NA,-0.0953127945,-0.0038996275,1.831788
SH101,Species6,North,175.212,64.503824,31.004018,1428.50359,1,1,1,-0.0447168706,-0.009484062,2.026591
SH108,Species6,North,106.739,68.908454,44.100028,2087.7655,1,1,1,-0.1555022942,0.0042858166,1.548129
SH146,Species6,North,128.133,50.386875,27.8158,925.13472,1,1,1,-0.0879097051,-0.0118144298,1.788635
SH152,Species6,North,127.789,52.965179,24.470058,809.19119,1,1,1,-0.0110473706,-0.0121404533,2.193791
SH154,Species6,North,146.724,58.476667,24.492704,912.95498,1,1,1,0.0023414384,-0.003783432,2.254668
SH155,Species6,North,141.865,48.401218,21.204034,614.71371,1,1,1,0.0355136977,-0.0222788183,2.381227
SH156,Species6,North,150.0605,85.440748,56.464125,3408.74454,1,1,1,-0.1615706001,0.0084625632,1.513234
